,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,98.65637479618886,117.37755263595751,117.37755263595751,117.76571102816962,117.76571102816962,97.58147463313993,94.05819076536848,101.64220858243584,93.6401740352939,105.7626592074567,105.7626592074567,102.65739206975982,119.13919456984324,108.74849299370369,113.70497707887371,94.47620749544305,95.13309092841739,78.86029679337126,65.15531971449757
40,56.824843450868435,,,,,,,,,,,,,,,,,,
41,52.55510113653523,58.85521042551639,,,,,,,,,,,,,,,,,
42,60.85571906230188,79.7261885913829,53.510567948134266,,,,,,,,,,,,,,,,
44,66.31979489113388,75.48630461491216,52.19680108218559,61.24387745451399,,,,,,,,,,,,,,,
45,85.63813948815195,73.39622096453927,54.94376816553282,,,,,,,,,,,,,,,,
46,65.93163649892178,,,,,,,,,,,,,,,,,,
47,91.01264030339654,,,,,,,,,,,,,,,,,,
48,73.48579597812667,,,,,,,,,,,,,,,,,,
49,76.68063812941097,57.69073524888006,70.79854557050439,44.76207495443057,,,,,,,,,,,,,,,
50,61.632035846726104,37.59607386743779,,,,,,,,,,,,,,,,,
51,69.93265377249276,58.70591873620404,,,,,,,,,,,,,,,,,
53,11.410311562051636,,,,,,,,,,,,,,,,,,
55,45.38910004954244,,,,,,,,,,,,,,,,,,
56,8.312509008820376,23.398434213833323,11.940297059110478,,,,,,,,,,,,,,,,
60,3.8680954179917233,,,,,,,,,,,,,,,,,,
63,4.020372941090321,,,,,,,,,,,,,,,,,,
67,3.859137916632982,,,,,,,,,,,,,,,,,,
69,5.7745502905104305,3.859137916632982,,,,,,,,,,,,,,,,,
72,7.931815201073885,,,,,,,,,,,,,,,,,,
81,7.431688041877513,,,,,,,,,,,,,,,,,,
